date,count,uniques
2026-06-30,22,3
2026-07-01,24,6
2026-07-02,63,19
2026-07-03,16,12
2026-07-04,4,3
2026-07-05,7,6
2026-07-06,39,10
2026-07-07,17,8
2026-07-08,13,8
2026-07-09,12,8
2026-07-10,18,9
2026-07-11,0,0
2026-07-12,12,5
2026-07-13,16,4
