date,count,uniques
2026-06-30,83,12
2026-07-01,5,3
2026-07-02,15,10
2026-07-03,8,5
2026-07-04,5,4
2026-07-05,15,6
2026-07-06,27,5
2026-07-07,266,21
2026-07-08,94,13
2026-07-09,111,12
2026-07-10,51,14
2026-07-11,95,16
2026-07-12,28,7
2026-07-13,3,2
2026-07-14,82,23
2026-07-15,87,40
2026-07-16,118,35
